English word,French word,Frequency
everything,tout,40
excellent,excellent,118
except,sauf,38
excuse,excuse,78
execution,exécution,47
exeter,Exeter,97
exeunt,sortir,1034
express,Express,35
faces,visages,53
faint,perdre connaissance,42
fairy,Fée,56
faith,Foi,399
falls,des chutes,80
false,faux,290
familiar,familier,35
fancy,fantaisie,46
farewell,Adieu,1
farewell,adieu,349
farther,plus loin,42
fashion,mode,98
fatal,fatal,41
father,père,840
fault,faute,162
favour,favoriser,117
fearful,craintif,88
fears,peurs,76
feast,le banquet,99
feeble,faible,36
fellow,compagnon,308
fenton,Fenton,45
ferdinand,Ferdinand,52
fetch,chercher,121
field,champ,186
fiend,démon,62
fierce,féroce,39
fiery,ardent,46
fight,Bats toi,0
fight,bats toi,275
figure,figure,39
finds,trouve,41
finger,doigt,60
first,première,1160
flatter,flatter,42
flesh,la chair,130
flies,mouches,53
flight,vol,52
flood,inonder,45
flourish,fleurir,132
flower,fleur,42
flowers,fleurs,46
follow,suivre,308
folly,folie,78
foolish,insensé,94
fools,imbéciles,116
forbear,ancêtre,56
forbid,interdire,73
force,Obliger,112
forces,les forces,43
forest,forêt,69
forget,oublier,91
former,ancien,62
forsooth,en vérité,46
forth,en avant,368
fortune,Fortune,0
fortune,fortune,314
forward,vers l'avant,89
fought,combattu,64
found,a trouvé,223
fourth,Quatrième,50
frame,Cadre,45
france,France,529
freely,librement,54
french,Français,0
french,français,222
fresh,Frais,86
friend,ami,436
frown,froncer les sourcils,45
fruit,fruit,36
further,plus loin,189
gallant,galant,52
garden,jardin,43
gates,portes,100
gaunt,décharné,68
general,général,203
gentle,doux,369
ghost,fantôme,84
given,donné,190
giving,donnant,57
glass,verre,55
glorious,glorieux,39
glory,gloire,84
going,Aller,105
golden,d'or,90
goodness,la bonté,55
gower,gower,52
grace,la grâce,577
grant,subvention,108
grave,la tombe,176
great,génial,904
green,vert,103
greet,saluer,42
grief,douleur,211
grieve,pleurer,39
gross,brut,53
ground,sol,160
grown,grandi,56
guard,garde,128
guess,devine,49
guilty,coupable,69
habit,habitude,38
hands,mains,318
hanging,pendaison,37
hangs,bloque,36
happiness,bonheur,56
happy,heureux,201
haste,hâte,157
hateful,odieux,38
having,ayant,154
hazard,danger,39
heads,têtes,111
health,santé,101
heard,entendu,344
heart,cœur,985
heaven,paradis,615
heavy,lourd,164
hector,Hector,196
heels,talons,72
hence,Par conséquent,365
henceforth,désormais,39
hereafter,ci-après,47
herself,se,96
highness,altesse,187
holds,tient,81
hollow,creux,46
honest,honnête,285
horse,cheval,220
hostess,hôtesse,110
hours,heures,149
house,maison,538
hubert,Hubert,93
humble,humble,62
humour,humour,89
hundred,cent,113
husband,mari,290
ignorant,ignorant,47
image,image,45
includes,comprend,222
indeed,En effet,436
infinite,infini,37
innocent,innocent,53
instant,instant,60
intend,avoir l'intention,52
intent,intention,48
issue,problème,109
itself,lui-même,239
jealous,jaloux,48
jewel,bijou,58
judge,juge,87
judgment,jugement,99
julia,Julia,145
justice,Justice,237
keeps,garde,74
kindness,la gentillesse,50
kingdom,Royaume,90
kings,Rois,2
kings,rois,280
knave,fripon,164
kneel,s'agenouiller,62
knees,les genoux,50
knife,couteau,51
knight,Chevalier,129
knock,frappe,73
knowing,connaissance,45
knowledge,connaissance,77
known,connu,186
knows,sait,212
labour,la main d'oeuvre,79
ladies,Dames,143
ladyship,Madame,37
lands,terres,58
large,grand,70
laugh,rire,84
launce,lancer,81
lawful,légitime,60
learn,apprendre,90
learned,appris,48
least,moins,100
leave,laisser,650
leisure,loisir,62
leontes,leontes,149
letter,lettre,244
liberty,liberté,72
library,Bibliothèque,0
library,bibliothèque,230
liege,Liege,138
lieutenant,lieutenant,74
light,lumière,265
limbs,membres,46
little,peu,481
lives,vies,203
living,vivant,119
longer,plus long,111
looks,regards,213
loose,ample,46
lords,seigneurs,496
lordship,seigneurie,112
lorenzo,Lorenzo,80
lovely,charmant,52
lovers,les amoureux,73
loves,Aime,0
loves,aime,284
loving,aimant,114
lucentio,Lucentio,126
machine,machine,222
madness,la démence,67
maiden,jeune fille,41
maids,servantes,51
maintain,maintenir,41
majesty,Majesté,0
majesty,majesté,255
makes,fait du,357
making,fabrication,80
malice,malice,71
manner,manière,79
march,Mars,122
marcius,Marcius,143
marcus,Marcus,140
margaret,Margaret,4
margaret,margaret,202
maria,maria,113
mariana,Mariana,45
marriage,mariage,109
marry,marier,364
master,Maître,766
match,rencontre,80
matter,matière,353
meaning,sens,56
means,veux dire,263
meant,signifiait,48
measure,MESURE,0
measure,Mesure,0
measure,mesure,93
meeting,réunion,50
membership,adhésion,220
memory,Mémoire,57
merchant,marchande,59
mercy,pitié,172
merit,mérite,49
merry,joyeux,168
messenger,Messager,299
midnight,minuit,42
might,pourrait,495
mighty,puissant,108
milan,Milan,40
minds,esprits,62
minister,ministre,37
miranda,Miranda,63
mirth,gaieté,50
mischief,sottises,41
misery,misère,37
mistake,erreur,39
mistress,MAîTRESSE,8
mistress,Maîtresse,4
mistress,maîtresse,435
modest,modeste,37
money,argent,181
monster,monstre,68
month,mois,42
morning,Matin,123
morrow,demain,108
mortal,mortel,95
mother,mère,360
motion,mouvement,78
mouth,bouche,127
mowbray,mowbray,59
murder,meurtre,64
murther,Aller plus loin,2
murther,aller plus loin,45
music,la musique,200
myself,moi même,565
naked,nu,51
names,des noms,55
native,originaire de,42
natural,Naturel,57
nature,la nature,346
needs,Besoins,146
neighbour,voisine,50
neither,ni,184
never,jamais,1010
niece,nièce,62
night,nuit,631
noble,noble,612
noise,bruit,109
nothing,rien,630
nought,néant,56
number,nombre,51
nurse,infirmière,203
oaths,serments,68
obedience,obéissance,51
oberon,Oberon,44
object,objet,38
occasion,occasion,73
offence,infraction,93
offend,offenser,58
offer,offre,86
office,Bureau,126
often,souvent,122
oliver,oliver,53
opinion,opinion,82
order,ordre,92
orlando,orlando,163
other,AUTRE,0
other,autre,683
others,autres,445
ourselves,nous-mêmes,114
outward,vers l'extérieur,48
oxford,Oxford,54
padua,Padoue,40
pains,des douleurs,90
painted,peint,51
painter,peintre,43
palace,palais,159
pandarus,Pandarus,186
paper,papier,103
pardon,pardon,302
paris,Paris,136
parolles,parolles,174
parted,séparé,43
particular,particulier,55
partly,partiellement,34
parts,les pièces,111
party,fête,49
passage,passage,34
passion,la passion,107
patience,la patience,191
patient,patient,86
paulina,paulina,83
peace,Paix,1
peace,paix,531
pedro,pedro,154
people,gens,199
perceive,apercevoir,89
percy,Percy,76
perfect,parfait,53
perhaps,peut-être,43
peril,péril,42
permission,autorisation,224
person,la personne,148
personal,personnel,233
phebe,Phebe,0
phebe,phebe,44
philip,Philippe,68
picture,image,40
piece,pièce,86
pistol,Pistolet,0
pistol,pistolet,183
place,endroit,429
plague,peste,93
plain,plaine,118
plead,plaider,47
please,S'il vous plaît,392
pleasure,plaisir,178
pluck,cueillir,106
poins,Poins,1
poins,poins,100
point,point,150
poison,poison,81
policy,politique,44
polixenes,polixènes,83
pompey,Pompey,3
pompey,pompey,198
porter,porter,43
possible,possible,57
posthumus,posthume,128
pound,livre,52
power,Puissance,307
practice,entraine toi,40
praise,louange,182
prayers,prières,85
precious,précieux,75
prepare,préparer,64
presence,présence,105
present,présent,243
pretty,jolie,115
pride,fierté,110
priest,prêtre,68
prince,PRINCE,1
prince,Prince,4
prince,prince,741
prison,prison,91
private,privé,65
prize,prix,46
proceed,procéder,71
proclaim,proclamer,38
profit,profit,36
prohibited,interdit,220
project,projet,248
prologue,prologue,39
promise,promettre,101
proof,preuve,75
proper,correct,62
protector,protecteur,49
protest,manifestation,52
proud,fier,203
prove,prouver,251
provided,à condition de,251
public,Publique,56
purpose,objectif,206
purse,bourse,81
quality,qualité,54
quarrel,querelle,95
queen,REINE,0
queen,Reine,1
queen,reine,941
question,question,149
quick,rapide,100
quiet,silencieux,76
quite,assez,85
quoth,quoth,76
raise,élever,46
ransom,une rançon,53
rascal,coquin,55
rather,plutôt,321
readable,lisible,223
ready,prêt,143
realm,domaine,52
reason,raison,283
receive,recevoir,95
regard,qui concerne,42
reign,règne,40
reignier,règne,48
remain,rester,62
remedy,remède,58
remember,rappelles toi,188
render,rendre,41
repair,réparation,44
repent,se repentir,58
report,rapport,145
reputation,réputation,46
request,demande,64
respect,le respect,101
return,revenir,195
revenge,vengeance,153
reverence,révérence,41
revolt,révolte,41
right,droite,351
rivers,rivières,57
rogue,coquin,78
rotten,pourri,36
rough,rugueux,67
round,rond,73
royal,Royal,209
sacred,sacré,46
safety,sécurité,72
saint,Saint,129
salerio,salerio,47
satisfied,satisfait,46
saying,en disant,55
scarce,rare,70
scene,scène,794
scorn,mépris,94
search,chercher,41
season,saison,41
second,seconde,575
secret,secret,62
seeing,voyant,49
senate,sénat,39
senator,sénateur,89
sense,sens,125
sentence,phrase,38
servant,Serviteur,0
servant,serviteur,415
serve,servir,186
service,un service,444
seven,Sept,69
several,nombreuses,78
shadow,ombre,78
shake,secouer,100
shall,Doit,3
shall,doit,3587
shame,la honte,302
shape,forme,86
sharp,tranchant,62
shepherd,berger,109
shine,éclat,44
shore,rive,53
short,court,93
shortly,prochainement,45
should,devrait,1576
shows,montre,102
sickness,maladie,51
sight,vue,198
silence,silence,111
silver,Argent,0
silver,argent,59
simple,Facile,111
since,depuis,447
single,Célibataire,57
sirrah,sirrah,146
sister,sœur,186
skill,compétence,47
slain,tué,124
slander,calomnie,45
slave,esclave,128
sleep,sommeil,256
slender,mince,107
small,petit,98
smell,odeur,47
smile,sourire,76
soldier,soldat,252
solemn,solennel,40
somerset,SOMERSET,1
somerset,Somerset,1
somerset,somerset,142
something,quelque chose,179
sometime,parfois,75
sooner,plus tôt,61
soothsayer,devin,42
sorrow,chagrin,179
sorry,Pardon,91
sought,recherché,36
souls,âmes,131
sound,du son,217
sovereign,souverain,142
spare,de rechange,59
speak,parler,1167
speaks,parle,126
special,spécial,37
speech,discours,126
speed,la vitesse,239
spend,dépenser,65
spirit,esprit,262
spite,dépit,59
spoke,parlait,147
sport,sport,128
spring,printemps,59
staff,Personnel,38
stain,tache,38
stand,Supporter,1
stand,supporter,564
stars,étoiles,69
state,Etat,304
steal,voler,83
steel,acier,67
steward,intendant,46
still,encore,551
stomach,estomac,41
stone,calcul,60
stood,se tenait,92
store,boutique,37
storm,orage,56
story,récit,66
straight,tout droit,151
strange,étrange,251
street,rue,82
strength,force,118
strike,la grève,153
stroke,accident vasculaire cérébral,38
strong,fort,186
struck,frappé,73
study,étude,61
stuff,des trucs,48
subject,matière,102
substance,substance,40
success,Succès,47
sudden,soudain,78
suddenly,tout à coup,49
suffer,souffrir,81
suffolk,Suffolk,2
suffolk,suffolk,246
summer,été,54
supper,souper,53
surely,sûrement,38
surrey,Surrey,49
suspect,suspect,39
swear,jurer,255
sweat,transpiration,37
sweet,Sucré,0
sweet,sucré,791
swift,rapide,65
sword,épée,346
swore,juré,50
sworn,juré,130
syracuse,SYRACUSE,7
syracuse,Syracuse,237
table,table,54
tailor,tailleur,48
taken,pris,93
talbot,Talbot,4
talbot,talbot,154
tarry,goudronneux,44
taste,goût,79
taught,enseigné,48
teach,enseigner,104
tears,larmes,283
tedious,fastidieux,43
teeth,les dents,55
tells,raconte,43
tempest,tempête,41
tender,soumissionner,137
terms,termes,74
thank,remercier,290
their,leur,2079
themselves,se,157
there,Là,1808
therefore,par conséquent,624
therein,la bride,55
these,celles-ci,1323
thief,voleur,65
thing,chose,357
think,pense,1030
third,troisième,239
thomas,Thomas,74
those,ceux,546
though,bien que,628
thought,pensée,374
thrive,prospérer,55
throat,gorge,49
throne,trône,66
through,par,260
throw,jeter,103
thrust,poussée,53
thunder,tonnerre,61
times,Fois,0
times,fois,235
title,Titre,87
together,ensemble,255
tongue,langue,397
tonight,ce soir,187
touch,toucher,114
toward,vers,102
tower,La tour,0
tower,la tour,76
train,train,72
traitor,traitre,123
tread,bande de roulement,41
treason,trahison,88
treasure,Trésor,50
trial,procès,56
tribunes,tribunes,66
trick,tour,49
triumph,triomphe,44
trouble,difficulté,76
truly,vraiment,171
trumpet,trompette,83
trust,confiance,175
truth,vérité,329
turns,se tourne,54
twice,deux fois,69
tyrant,tyran,48
ulysses,Ulysse,113
uncle,oncle,194
under,sous,289
understand,comprendre,97
undertake,entreprendre,43
undone,défait,54
unhappy,malheureux,37
unknown,inconnue,43
unless,sauf si,152
until,jusqu'à,75
unworthy,indigne,35
utter,prononcer,38
valentine,Valentin,229
valiant,vaillant,149
valour,valeur,94
vantage,avantage,38
vengeance,vengeance,51
venice,venise,85
version,version,221
victory,la victoire,46
villain,scélérat,240
viola,alto,141
violent,violent,41
virtue,vertu,184
visit,visite,54
voice,voix,155
walls,des murs,84
warlike,guerrier,60
warrant,mandat,173
waste,déchets,44
watch,regarder,185
water,eau,133
wealth,richesse,70
weapons,armes,42
weary,se lasser,75
weeds,mauvaises herbes,43
weeping,larmes,55
weight,poids,43
welcome,Bienvenue,365
wench,jeune fille,55
whence,d'où,74
where,Où,8
where,où,1225
wherein,où,130
whether,qu'il s'agisse,95
which,lequel,2315
while,tandis que,243
whither,où,87
whole,entier,119
whore,putain,45
whose,dont,614
widow,veuve,109
willing,prêt,38
window,la fenêtre,45
wings,ailes,54
winter,hiver,46
wisdom,sagesse,92
witch,sorcière,91
withal,avec,141
within,dans,492
without,sans pour autant,363
witness,témoin,124
wives,épouses,61
wolsey,Wolsey,99
woman,femme,321
wonder,merveille,115
works,travaux,250
world,monde,852
worse,pire,160
worship,culte,92
worth,vaut,206
would,aurait,2296
wound,blessure,72
wounded,blessés,37
wrath,colère,54
wretch,misérable,56
write,écrire,124
written,écrit,34
wrong,faux,227
wrought,forgé,40
yield,rendement,142
yonder,là-bas,68
young,Jeune,461
yours,le tiens,254
yourself,toi même,279
youth,jeunesse,276
